CLASS,Event Date,First Name,Last Name,Position,Height,Weight,Wingspan,Hand Span,Reach,10,20,40,5_10_5_10,5_10_5_20,3_Cone,VJ_Max,VJ_VJ,Broad Jump,40 P,VJ_P,BJ_P,Shuttle_P,Total P,PI Grade,Name
2020,1/3/20,Justice,Williams,DL,72.3,293,78,,95.5,1.969,3.23,5.666,2.416,4.657,8.666,119,23.5,92,50.96,66.42,61.39,74,253,63.26,Justice Williams
2020,1/3/20,Malik,Nabers,WR,71.5,188,,,94.5,1.696,2.792,4.694,2.262,4.385,7.52,127,32.5,121,51.17,56.65,53.28,57,218,54.55,Malik Nabers
2019,1/5/19,Edgerrin,Cooper,LB,77,231,79.5,10.25,108,1.93,3.021,5.127,2.49,4.688,7.896,133,25,115,42.67,48.69,55.89,57,205,51.16,Edgerrin Cooper
2019,1/5/19,Anthony,Richardson,QB,71.5,218,74.5,9.25,91,1.845,3.042,5.214,2.476,4.763,7.947,121,30,95,46.09,59.76,45.55,52,203,50.76,Anthony Richardson
2019,1/5/19,Kendre,Miller,RB,69,168,75,9.25,85,1.733,2.88,4.962,2.509,4.624,7.699,117.5,32.5,94,42.86,53.12,34.84,44,174,43.58,Kendre Miller
2019,1/5/19,Noah,Sewell,LB,67.5,162,76.5,8.75,84,1.749,2.872,4.954,2.489,4.734,8.193,115,31,92,40.21,49.56,33.42,39,162,40.57,Noah Sewell
2019,1/5/19,Graham,Barton,OL,0,0,0,0,89,1.771,2.964,5.173,2.307,4.476,8.085,123.5,34.5,104,,,,,0,0,Graham Barton
2019,1/5/19,Maason,Smith,DL,68,147,68.5,8,,1.752,2.93,5.087,2.433,4.536,7.621,114,,100,36.3,-18.83,34,40,92,22.95,Maason Smith
2019,1/5/19,Malachi,Corley,DB,71,0,0,0,84,1.882,3.047,5.16,2.469,4.601,8.43,120,36,109,,,,,0,0,Malachi Corley
2018,1/4/18,Sean,Rhyan,OL,76,311,79,,95,1.907,3.147,5.495,2.482,5.153,7.997,129,34,101,59.55,90.04,67.98,58,276,68.94,Sean Rhyan
2018,1/4/18,Darnell,Wright,OL,76,294,82,,100,1.953,3.167,5.37,2.481,4.668,7.76,128,28,100,52.41,73,63.29,74,263,65.67,Darnell Wright
2018,1/4/18,Christian,Mahogany,OL,75,334,81,,100,2.014,3.331,5.731,2.595,4.809,8.314,115,15,95,54.29,58.02,70.88,77,260,65.02,Christian Mahogany
2018,1/4/18,Dylan,Mcmahon,OL,74,289,75,,97.5,1.952,3.19,5.539,2.393,4.535,8.03,123,25.5,98,51.59,68.05,62.5,79,261,65.37,Dylan Mcmahon
2018,1/4/18,Myles,Murphy,DL,75,256,81,,99,1.821,2.939,4.968,2.407,4.567,7.787,127.5,28.5,100,56.29,64.36,54.87,69,244,61.08,Myles Murphy
2018,1/4/18,Jordan,Jefferson,DL,75,280,79,,96.5,1.916,3.171,5.381,2.604,4.859,8.242,123,26.5,101,52.86,66.84,61.26,62,243,60.86,Jordan Jefferson
2018,1/4/18,Elijah,Higgins,WR,74,221,78,,92.5,1.746,2.809,4.777,2.431,4.534,7.54,126.5,34,115,55.13,66.85,55.84,61,239,59.63,Elijah Higgins
2018,1/4/18,Mark,Perry,DB,71,190,75,,93,1.674,2.773,4.742,2.236,4.237,7.221,128,35,125,53.78,62.74,56.47,64,237,59.24,Mark Perry
