Event Date,First Name,Last Name,Position,Height,Weight,Wingspan,Hand Span,Reach,10,20,40,5_10_5_10,5_10_5_20,3_Cone,VJ_Max,VJ_VJ,Broad Jump,40 P,VJ_P,BJ_P,Shuttle_P,Total P,PI Grade,Name,,,,,
1/5/24,Milo,Abercrombie,WR,69.5,300,77.25,9.25,92.5,1.758,2.92,5.042,2.451,4.69,,118.5,28.75,111,42.77,45.9,44.92,,,,Milo Abercrombie,,,,,
1/5/24,Oluwatolani,Adegorusi,OL,70.75,175,75.5,8.75,93,1.996,3.291,5.726,2.959,5.384,,114.5,22,78,50.09,67.42,57.19,,,,Oluwatolani Adegorusi,,,,,
1/5/24,Juan-Milleon,Aguilar,DB,64.2,130,63.75,8.25,82.5,,,,,,,125,32,118,,52.63,48.99,,,,Juan-Milleon Aguilar,,,,,
1/5/24,Chad,Aguillard,WR,71.8,180,75.25,8.75,90.75,1.736,2.846,4.893,2.351,4.633,,112.5,30,110,32.99,41.3,38.66,,,,Chad Aguillard,,,,,
1/5/24,Davinci,Allen,DB,70.5,190,73.25,9.5,91.75,1.704,2.832,4.862,2.515,4.706,,127,36.25,115,48.31,61.93,47.65,,,,Davinci Allen,,,,,
1/5/24,Malik,Allen,RB,72.5,219,79.5,10,95.75,1.816,2.927,4.956,2.442,4.795,,120,28.25,108,42.13,49.23,47.06,,,,Malik Allen,,,,,
1/5/24,Rousselet,Alphonse,DL,64.8,175,65.5,8.5,83,1.726,2.902,5.03,2.532,4.918,,125.5,29.75,108,56.55,58.73,52.5,,,,Rousselet Alphonse,,,,,
1/5/24,Gibby,Alvarado,QB,69.8,280,73.75,9.5,89.75,1.856,3.062,5.347,2.638,4.819,,106,23,95,36.34,38.79,40.43,,,,Gibby Alvarado,,,,,
1/5/24,Michelangelo,Alvarez,OL,71.2,250,77,9,98.25,2.2,3.614,6.383,2.97,5.605,,111,21.25,82,34.92,60.14,54.41,,,,Michelangelo Alvarez,,,,,
1/5/24,Devin,Amos,OL,71.8,180,79.75,9.25,94.5,1.964,3.305,5.785,2.674,5.202,,121,22.75,95,43.82,53.86,53.54,,,,Devin Amos,,,,,
1/5/24,Samuel,Amuti,DB,69.2,174,73.5,9.38,89.25,1.838,3.055,5.332,2.477,4.665,,121,26.5,107,38.49,41.85,43.03,,,,Samuel Amuti,,,,,
1/5/24,Braeton,Anderson,WR,64,200,65.5,8.75,81,1.801,2.901,4.888,2.418,4.599,,120.5,31.25,105,39.55,52.04,42.48,,,,Braeton Anderson,,,,,
1/5/24,Dasan,Anderson,RB,73.2,215,77,9.25,96.5,1.937,3.17,5.518,2.764,5.218,,106.5,25.5,96,36.54,51.46,47.69,,,,Dasan Anderson,,,,,
1/5/24,Eric,Archield,QB,71.8,185,76.5,9.5,94.75,1.795,2.93,5.004,2.529,4.917,,121,24.5,102,49.36,46.25,47.52,,,,Eric Archield,,,,,
1/5/24,Joshua,Arthur,QB,69.8,190,75.25,10.1,91.75,1.861,3.063,5.276,2.674,4.952,,121,26.25,111,38.11,42.71,46.55,,,,Joshua Arthur,,,,,
1/5/24,Josiah,Artis,WR,69.2,160,75,8.5,93.75,1.744,2.91,5.105,2.529,4.783,,119.5,27.75,107,47.56,48.76,47.03,,,,Josiah Artis,,,,,
1/5/24,Nigel,Asamaoh,DB,73.5,251,75.5,10,96.25,,,,,,,,,,,0,,,,,Nigel Asamaoh,,,,,
1/5/24,Kameron,Asbra,OL,68.8,168,72,9,89,2.061,3.398,5.866,2.827,5.439,,117.5,21.25,88,38.07,49.23,47.92,,,,Kameron Asbra,,,,,
1/5/24,Boston,Ashe,WR,75.2,305,78.5,10,97.25,1.788,2.957,5.133,2.356,4.568,,122,33,108,39.03,54.31,43.07,,,,Boston Ashe,,,,,
1/5/24,Joshua,Austin,OL,72.5,220,78.25,10.5,95.25,2.092,3.499,6.128,2.857,5.328,,119.5,22.25,93,44.23,64.81,62.55,,,,Joshua Austin,,,,,
1/5/24,Ezekiel,Ayangbile,DL,74,205,75.5,10,94.75,2.017,3.27,5.558,2.721,4.916,,123,27.75,90,35.6,54.88,42.36,,,,Ezekiel Ayangbile,,,,,
1/5/24,Braiden,Bachich-Dixon,TE,73.8,197,78.25,10.25,96.75,1.796,2.911,4.95,2.372,4.538,,129,34.25,109,46.99,62.96,48.5,,,,Braiden Bachich-Dixon,,,,,
1/5/24,Bryce,Baker,QB,70.8,175,75.75,9.5,93.25,1.772,2.879,4.849,2.212,4.312,,130,33.25,122,47.01,58.85,54.22,,,,Bryce Baker,,,,,
1/5/24,Byron,Baldwin,DB,73.2,295,73.25,9.25,93.25,1.648,2.767,4.719,2.202,4.33,,127.5,34.25,121,51.92,57.23,50.69,,,,Byron Baldwin,,,,,
1/5/24,Ben,Bankowitz,OL,73.5,230,74.25,10.5,94,,,,,,,114,20.75,85,,60.55,57.09,,,,Ben Bankowitz,,,,,
1/5/24,Nicholas,Barber,TE,72.8,185,78.25,0,95,1.907,3.1,5.266,2.397,4.561,,121,27,105,44.04,55.3,52.64,,,,Nicholas Barber,,,,,
1/5/24,XZavier,Barnett,WR,73,307,72.25,9.25,93.5,1.795,2.905,4.932,2.434,4.623,,128.5,33.5,113,42.47,56.86,46.91,,,,XZavier Barnett,,,,,
1/5/24,Tyler,Barrett,OL,,,,,,1.935,3.12,5.306,2.926,5.426,,122,28.5,103,56.26,79.98,70.54,,,,Tyler Barrett,,,,,
1/5/24,XZaiver,Barrett,WR,68.8,190,71.5,9.25,87.5,,,,,,,,,,,,,,,,XZaiver Barrett,,,,,
1/5/24,Christopher,Barrino,LB,70,200,71.25,8.25,90.5,1.74,2.898,5.098,2.559,4.82,,117.5,30,109,47.89,54.18,48.98,,,,Christopher Barrino,,,,,
1/5/24,Austin,Batrous,LB,69.5,203,73.5,9,90.5,1.934,3.139,5.381,2.555,4.722,,115,24.5,96,36.71,44.65,42.95,,,,Austin Batrous,,,,,
1/5/24,Hayes,Baum,LB,70.2,263,75.75,10.25,93.25,1.875,3.027,5.186,2.485,4.601,,119,28.5,108,40.89,54.12,51,,,,Hayes Baum,,,,,
1/5/24,Ryan,Beals,DL,73.8,290,76,9.25,96.5,2.092,3.481,6.198,3.147,5.903,,110,16.75,83,38.14,45.87,50.55,,,,Ryan Beals,,,,,
1/5/24,Adrian,Bekibele,DL,68.5,166,70.75,8.75,87.25,2.054,3.339,5.865,2.772,5.313,,115,18.5,89,44.44,54.06,57.71,,,,Adrian Bekibele,,,,,
1/5/24,Marco,Beltran,DB,75.2,275,79.5,10.25,95.25,1.693,2.818,4.875,2.363,4.518,,119.5,32.25,113,45.42,52.45,45.71,,,,Marco Beltran,,,,,
1/5/24,Jacob,Bentley,OL,76.5,230,78.25,9.65,98.25,2.043,3.338,5.808,2.792,5.344,,119,23.75,91,42.82,59.64,54.13,,,,Jacob Bentley,,,,,
1/5/24,Nathan,Bernhard,QB,72,195,73,9.75,92.25,1.819,2.955,5.026,2.517,4.743,,127,28.75,117,50.74,56.53,57.2,,,,Nathan Bernhard,,,,,
1/5/24,Blaze,Berry,QB,72.8,294,77.5,9.5,96.75,1.76,2.946,5.027,2.415,4.639,,117,24.75,109,47.49,42.21,47.66,,,,Blaze Berry,,,,,
1/5/24,Dylan,Berymon,DL,71.8,185,76.5,9,95.25,1.969,3.2,5.563,2.82,5.39,,119,22.25,93,51.14,63.68,61.78,,,,Dylan Berymon,,,,,
1/5/24,Gavin,Bickford,QB,68.5,189,70,8.75,88.75,1.851,3.08,5.301,2.397,4.632,,117,21.75,99,38.73,33.44,39.63,,,,Gavin Bickford,,,,,
1/5/24,Parker,Bigelow,LB,72.8,185,74,9.5,94,1.855,3.064,5.373,2.809,5.175,,110,21.25,88,39.32,36.12,36.86,,,,Parker Bigelow,,,,,
1/5/24,JJ,Bittner,QB,78,310,81.75,10.5,99,1.777,2.944,5.073,2.355,4.443,,124,30,109,43.78,49.64,44.61,,,,JJ Bittner,,,,,
1/5/24,Garrison,Blank,OL,70.5,245,71.5,9.25,90.5,2.076,3.374,5.781,2.812,5.225,,122,23,98,46.01,65.52,64.43,,,,Garrison Blank,,,,,
1/5/24,Aaron,Blankenship,DL,70.8,212,72.25,9.25,89.5,2.013,3.337,5.742,2.891,5.331,,111.5,21,95,39.88,49.44,52.88,,,,Aaron Blankenship,,,,,
1/5/24,Conor,Booth,RB,70,240,70.75,9.5,85.5,,,,2.453,4.489,,123,33.5,121,,65.87,59.65,,,,Conor Booth,,,,,
1/5/24,Gerrit,Boschma,OL,61.2,152,61.25,8.5,78,1.942,3.154,5.389,2.57,4.838,,113,27.5,95,43.51,61.85,52.06,,,,Gerrit Boschma,,,,,
1/5/24,Noah,Boutsomsy,RB,70.5,200,72.75,9.5,91.25,1.71,2.89,5.033,2.53,4.674,,110,32,110,40.36,53.85,46.36,,,,Noah Boutsomsy,,,,,
1/5/24,Preston,Bowman,WR,69.8,190,73.25,9.5,88.75,,,,2.324,4.317,,120,28.75,112,,53.02,51.79,,,,Preston Bowman,,,,,
1/5/24,Niko,Boyce,QB,73.2,290,79,9.5,97.5,1.786,2.869,4.845,2.423,4.556,,120.5,31.75,113,44.28,57,50.49,,,,Niko Boyce,,,,,
1/5/24,Daniel,Boyd,OL,75.5,215,75,8.75,95.75,2.062,3.358,5.742,2.999,5.478,,121,23.5,98,43.92,64.84,63.38,,,,Daniel Boyd,,,,,
1/5/24,Sebastien,Boydell,TE,70.5,175,77,9,92.25,1.876,3.017,5.056,2.603,5.027,,120,24.25,95,43.24,43.92,41.66,,,,Sebastien Boydell,,,,,
